nombre,estilo,alcohol_%,min_IBU,max_IBU,astringencia,cuerpo,alcohol_gr/lt,amargor,dulzor,acidez,salado,frutado,lupulo,especias,malteado,opinion_aroma,opinion_apariencia,opinion_paladar,opinion_sabor,opinion_general
Gravel Road,Altbier,7.25,25,50,5,48,6,54,66,11,0,16,52,9,109,3.52,3.55,3.8,3.52,3.64
Little Red Cap,Altbier,5.2,25,50,27,39,18,47,52,28,0,24,59,6,100,3.83,3.83,3.83,3.67,4.0
Festivale,Altbier,4.7,25,50,29,30,9,72,77,20,0,20,104,10,141,3.61,3.89,3.73,3.64,3.68
Moby D,Altbier,5.0,25,50,26,37,14,65,57,33,0,33,107,3,98,3.55,4.14,3.64,3.68,3.91
Über Alt,Altbier,8.5,25,50,32,64,28,47,135,49,2,65,55,15,182,3.93,3.87,4.27,4.27,4.17
Füchschen Alt,Altbier,4.5,25,50,33,54,13,52,57,10,0,14,68,15,100,4.1,4.24,4.26,4.21,4.45
Sticke It To The Man,Altbier,7.5,25,50,18,55,7,51,87,22,0,39,47,6,96,3.36,3.62,3.52,3.33,3.29
Evan Altmighty,Altbier,6.6,25,50,21,39,7,40,62,34,0,47,65,5,80,4.0,3.9,3.9,4.0,4.1
ALTerior Motive,Altbier,6.3,25,50,27,61,11,56,61,46,0,40,77,14,110,4.19,4.06,4.25,4.25,4.47
The Detroit Dwarf,Altbier,6.8,25,50,19,57,13,42,68,25,0,29,54,12,70,3.66,3.93,3.81,3.69,3.83
Olde School Barleywine,Barleywine - American,5.0,20,40,20,55,7,56,52,30,0,107,43,13,62,3.9,3.93,3.9,3.93,3.7
Brewer's Reserve Bourbon Barrel Barleywine,Barleywine - American,5.0,20,40,11,65,7,40,142,25,0,63,23,27,133,4.37,4.07,4.19,4.31,4.09
Old Ruffian,Barleywine - American,10.2,20,40,6,55,31,25,97,27,1,57,16,14,119,4.24,4.32,4.23,4.29,4.07
Old Horizontal,Barleywine - American,11.0,20,40,9,49,45,78,83,36,1,52,97,12,117,4.05,4.08,4.08,4.14,3.96
Behemoth,Barleywine - American,10.5,20,40,18,71,7,90,125,72,0,101,105,24,105,4.21,4.12,4.19,4.26,4.06
Olde GnarlyWine,Barleywine - American,10.9,20,40,14,49,44,47,74,28,0,43,68,17,89,4.05,4.14,4.08,4.13,4.02
Old Numbskull,Barleywine - American,11.0,20,40,14,58,36,52,117,29,0,54,67,13,122,4.18,4.08,4.14,4.22,4.1
Flying Mouflan,Barleywine - American,9.3,20,40,17,74,41,66,143,38,1,78,72,11,130,4.13,4.13,4.14,4.24,4.08
XS Old Crustacean,Barleywine - American,11.5,20,40,13,51,35,88,80,41,0,65,86,14,83,4.09,4.02,4.06,4.06,3.74
Doggie Claws,Barleywine - American,11.5,20,40,14,55,34,66,102,36,1,53,82,22,98,4.2,3.98,4.02,4.25,4.02
Helldorado,Barleywine - American,5.0,20,40,6,39,7,25,101,23,0,45,48,21,134,4.5,4.0,4.0,4.5,4.5
Cockeyed Cooper,Barleywine - American,11.1,20,40,12,62,7,38,52,20,0,32,42,22,103,3.94,4.09,3.84,3.88,3.81
Solstice D'hiver,Barleywine - American,10.2,20,40,23,54,7,70,125,33,0,54,62,22,119,3.91,3.91,3.88,3.93,3.82
Anniversary Barley Wine Ale,Barleywine - American,10.4,20,40,7,47,39,64,97,27,1,46,67,2,110,3.89,3.92,3.78,3.82,3.77
Barleywine Style Ale,Barleywine - American,10.9,20,40,12,44,35,70,74,39,1,45,81,17,99,3.88,4.1,3.89,3.84,3.73
Lower De Boom Barleywine,Barleywine - American,11.5,20,40,11,60,7,67,110,73,2,120,98,6,100,3.71,3.79,3.79,3.43,3.5
Killer Penguin Barleywine,Barleywine - American,10.0,20,40,8,34,33,29,70,28,0,41,35,4,67,3.62,3.85,3.6,3.52,3.57
Great,Barleywine - American,5.0,20,40,8,47,36,14,81,14,0,35,10,10,76,4.47,3.89,4.21,4.5,4.16
Griffin's BowBoston Beer Company (Samuel Adams),Barleywine - American,11.5,20,40,5,65,41,60,52,78,0,117,71,25,104,3.56,3.83,3.59,3.44,3.47
Sisyphus,Barleywine - American,11.5,20,40,11,68,37,80,109,67,0,83,96,5,87,3.88,3.91,3.91,3.9,3.83
Gratitude,Barleywine - American,11.5,20,40,10,69,31,66,124,43,1,60,77,10,108,4.28,4.16,4.21,4.37,4.17
Barleywine Ale,Barleywine - American,11.0,20,40,14,57,43,86,86,36,1,61,96,16,95,3.93,4.04,3.83,3.81,3.72
The Vermonster,Barleywine - American,10.0,20,40,34,41,29,86,50,28,0,34,16,9,83,3.92,3.98,3.86,3.91,3.82
Smuttynose Barleywine Style Ale (Big Beer Series),Barleywine - American,5.0,20,40,11,75,43,89,89,46,0,54,106,17,97,4.0,3.97,3.93,4.0,3.85
John Barleycorn Barleywine Ale,Barleywine - American,11.4,20,40,12,71,7,57,98,48,1,59,59,14,89,3.73,3.76,3.79,3.71,3.67
Barrel Aged Behemoth,Barleywine - American,5.0,20,40,13,58,7,38,86,36,0,61,42,35,92,4.35,4.0,4.33,4.47,4.29
Old Ruffian - Barrel-Aged,Barleywine - American,5.0,20,40,18,67,7,43,134,34,0,57,53,32,132,4.16,3.85,3.95,4.14,3.98
# 100,Barleywine - American,10.0,20,40,18,70,43,85,92,26,1,53,95,15,113,4.01,4.15,4.08,4.09,3.96
Old Numbskull - Bourbon Barrel-Aged,Barleywine - American,11.0,20,40,9,57,7,26,113,20,0,36,23,25,132,4.34,4.07,4.3,4.35,4.2
Devil's Milk,Barleywine - American,10.0,20,40,15,73,45,78,125,80,2,122,16,9,103,3.84,3.95,3.9,3.9,3.79
Big Worse,Barleywine - American,5.0,20,40,14,50,7,67,137,71,0,110,79,12,114,3.89,3.62,3.69,3.83,3.6
Chicken Killer Barley Wine,Barleywine - American,10.0,20,40,13,41,40,61,85,38,0,47,61,4,104,3.57,3.93,3.7,3.61,3.54
Olde Bluehair Barley Wine,Barleywine - American,5.0,20,40,10,53,7,53,71,22,1,32,56,23,114,3.98,3.99,3.88,4.07,3.92
Old Blarney Barleywine,Barleywine - American,10.0,20,40,14,66,38,61,107,39,0,64,69,6,119,3.88,4.03,3.94,3.88,3.82
Druid Fluid,Barleywine - American,9.5,20,40,25,55,39,90,116,56,0,88,105,4,102,3.95,4.01,3.96,3.94,3.83
Holidale,Barleywine - American,9.5,20,40,15,72,7,79,103,42,0,53,69,27,107,3.83,3.99,3.91,3.99,3.89
Old Howling Bastard,Barleywine - American,10.0,20,40,9,59,37,45,100,34,0,44,60,11,115,3.83,3.96,3.84,3.8,3.72
Old Backus Barleywine,Barleywine - American,10.5,20,40,7,62,45,56,127,39,1,49,62,4,108,4.45,4.12,4.41,4.49,4.38
§ucaba,Barleywine - English,5.0,40,60,5,51,7,24,105,23,0,50,19,18,112,4.38,4.06,4.29,4.51,4.38
Insanity,Barleywine - English,5.0,40,60,7,56,7,19,103,27,0,68,19,27,88,4.18,4.04,4.1,4.24,3.98
Blithering Idiot,Barleywine - English,11.1,40,60,2,44,7,29,138,26,0,62,31,15,97,3.72,3.78,3.77,3.74,3.61
Mother Of All Storms,Barleywine - English,5.0,40,60,10,66,7,37,52,34,1,77,12,27,168,4.52,4.21,4.4,4.52,4.28
Old Foghorn,Barleywine - English,10.0,40,60,10,62,37,56,116,36,0,82,64,15,110,3.94,3.88,3.86,3.97,3.85
Double Double Barrel Ale,Barleywine - English,5.0,40,60,10,45,7,16,67,13,0,35,9,32,101,3.91,4.12,4.06,4.26,4.12
Mirror Mirror,Barleywine - English,11.0,40,60,18,56,19,32,119,28,0,77,29,18,104,4.12,4.12,4.15,4.25,4.1
Arctic Devil Barley Wine,Barleywine - English,5.0,40,60,10,72,7,28,123,23,0,49,23,24,141,4.39,4.12,4.33,4.44,4.19
Horn Dog,Barleywine - English,10.2,40,60,8,43,7,22,100,25,0,63,21,9,65,3.84,3.85,3.87,3.89,3.71
Bourbon Barrel-Aged Barley Wine,Barleywine - English,5.0,40,60,7,47,7,24,99,14,1,44,8,25,123,4.42,3.94,4.17,4.34,4.15
J.W. Lees Harvest Ale (Lagavulin Whisky Cask)J.W. Lees & Co (Brewers) Ltd,Barleywine - English,11.5,40,60,9,54,7,11,126,22,1,64,6,4,74,4.14,3.81,3.99,4.02,3.74
Bligh's Barleywine Ale,Barleywine - English,10.0,40,60,4,62,7,13,123,31,0,46,7,18,96,4.44,4.07,4.23,4.5,4.45
J.W. Lees Harvest Ale (Calvados Cask)J.W. Lees & Co (Brewers) Ltd,Barleywine - English,11.5,40,60,9,38,7,23,52,74,0,93,22,30,93,4.15,3.81,4.07,4.15,3.92
J.W. Lees Harvest Ale (Port Cask)J.W. Lees & Co (Brewers) Ltd,Barleywine - English,11.5,40,60,7,48,38,23,52,36,0,89,9,14,76,4.27,3.91,4.19,4.29,4.04
Ridge Runner,Barleywine - English,7.2,40,60,9,53,20,27,80,22,2,45,29,5,114,3.51,3.77,3.32,3.46,3.59
J.W. Lees Harvest Ale (Sherry Cask)J.W. Lees & Co (Brewers) Ltd,Barleywine - English,11.5,40,60,5,58,22,24,134,40,0,85,30,31,101,4.14,3.87,4.13,4.13,3.87
Irish Walker,Barleywine - English,10.14,40,60,7,83,7,58,52,52,0,105,40,17,170,3.93,3.98,3.9,3.97,3.86
Criminally Bad Elf Barleywine-Style Ale,Barleywine - English,10.5,40,60,13,63,7,34,125,44,0,82,52,14,92,3.46,3.62,3.47,3.45,3.39
Commander,Barleywine - English,5.0,40,60,4,51,7,10,96,17,0,34,11,4,95,3.96,3.82,4.07,4.04,4.04
Pugsley's Signature Series: Barley Wine,Barleywine - English,8.5,40,60,23,99,30,65,124,42,0,63,54,20,130,3.67,3.95,3.63,3.6,3.64
Bommen & Granaten,Barleywine - English,5.0,40,60,11,55,39,36,52,45,0,88,30,6,70,3.89,3.44,3.71,3.85,3.7
Double Old Thumper Ale,Barleywine - English,11.2,40,60,2,62,7,57,52,54,0,80,68,17,125,3.52,3.93,3.53,3.45,3.36
Wooden Hell,Barleywine - English,9.5,40,60,11,77,7,35,134,28,0,78,44,51,143,4.61,4.18,4.46,4.61,4.55
Golden Pride,Barleywine - English,8.5,40,60,9,48,7,37,101,35,0,59,39,4,111,4.0,4.08,4.01,4.15,3.96
Stormwatcher's Winterfest,Barleywine - English,5.0,40,60,7,57,46,29,122,26,2,74,30,16,130,4.19,4.04,4.17,4.28,4.11
Old Abominable,Barleywine - English,9.0,40,60,11,51,23,29,114,33,0,53,36,4,91,3.76,3.94,3.74,3.68,3.8
Fuller's ESB,Bitter - English Extra Special / Strong Bitter (ESB),5.9,20,40,15,59,16,41,63,23,0,37,57,10,67,3.91,4.0,4.04,4.13,4.19
Hobgoblin Ruby,Bitter - English Extra Special / Strong Bitter (ESB),5.2,20,40,8,44,6,49,82,19,0,37,59,13,88,3.54,3.81,3.64,3.72,3.77
Sawtooth,Bitter - English Extra Special / Strong Bitter (ESB),5.3,20,40,18,37,2,55,53,18,0,25,78,0,117,3.57,3.75,3.67,3.69,3.83
Harvest Ale,Bitter - English Extra Special / Strong Bitter (ESB),6.7,20,40,18,26,11,74,21,23,0,26,105,9,52,3.94,3.82,3.8,3.97,4.07
Old Thumper,Bitter - English Extra Special / Strong Bitter (ESB),5.6,20,40,12,27,19,57,75,29,0,35,75,5,102,3.57,3.73,3.68,3.74,3.75
Abbot Ale,Bitter - English Extra Special / Strong Bitter (ESB),5.0,20,40,9,42,5,30,63,16,0,19,51,7,92,3.5,3.87,3.71,3.63,3.76
Anvil,Bitter - English Extra Special / Strong Bitter (ESB),5.5,20,40,12,56,8,54,57,20,0,25,68,3,118,3.77,3.98,3.9,3.91,4.04
Scarlet Lady Ale,Bitter - English Extra Special / Strong Bitter (ESB),5.0,20,40,18,32,4,50,45,21,0,15,82,2,89,3.49,3.77,3.56,3.58,3.75
Lord Rear Admiral,Bitter - English Extra Special / Strong Bitter (ESB),6.4,20,40,18,57,13,77,118,63,1,105,110,11,117,4.2,4.19,4.03,4.2,4.25
Extra Special Ale (ESA),Bitter - English Extra Special / Strong Bitter (ESB),6.0,20,40,13,55,11,59,54,20,1,18,75,20,90,3.65,3.89,3.8,3.81,3.84
Foster's Premium Ale,Bitter - English Extra Special / Strong Bitter (ESB),5.5,20,40,21,43,15,45,53,17,0,16,73,7,95,2.7,3.39,3.04,2.92,3.1
Belk's ESB,Bitter - English Extra Special / Strong Bitter (ESB),6.8,20,40,21,48,16,83,48,43,1,52,16,22,73,3.7,3.91,3.82,3.86,3.8
ESB,Bitter - English Extra Special / Strong Bitter (ESB),5.5,20,40,15,39,7,46,65,23,0,29,70,6,123,3.55,3.79,3.84,3.86,3.91
Motor Boat,Bitter - English Extra Special / Strong Bitter (ESB),5.6,20,40,18,48,6,92,57,38,2,39,16,9,87,3.76,3.81,3.7,3.81,3.88
ESB Special Ale,Bitter - English Extra Special / Strong Bitter (ESB),5.7,20,40,21,59,8,61,70,35,1,32,86,12,126,3.4,3.77,3.63,3.55,3.77
Autumn Ale,Bitter - English Extra Special / Strong Bitter (ESB),5.75,20,40,17,41,15,66,68,33,0,50,94,7,107,3.52,3.64,3.55,3.49,3.54
Halloween Ale,Bitter - English Extra Special / Strong Bitter (ESB),6.0,20,40,11,58,12,60,76,26,0,32,78,28,101,3.76,3.96,3.81,3.88,3.9
Bishops Finger,Bitter - English Extra Special / Strong Bitter (ESB),5.4,20,40,10,34,11,44,52,25,1,36,56,6,79,3.55,3.81,3.59,3.67,3.69
13 Rebels ESB,Bitter - English Extra Special / Strong Bitter (ESB),5.2,20,40,14,31,7,54,41,27,0,26,77,2,84,3.42,3.58,3.61,3.57,3.67
Beast Bitter,Bitter - English Extra Special / Strong Bitter (ESB),5.3,20,40,31,59,10,25,62,54,0,53,16,8,99,3.81,3.93,3.71,3.89,3.9
Moondog Ale,Bitter - English Extra Special / Strong Bitter (ESB),5.5,20,40,29,54,12,90,71,47,0,52,16,13,120,3.81,3.86,3.95,3.98,4.22
Magnumus Ete Tomahawkus ESB³,Bitter - English Extra Special / Strong Bitter (ESB),8.0,20,40,26,60,22,102,47,45,0,43,16,12,62,3.8,3.91,3.77,3.83,3.75
The Wise ESB,Bitter - English Extra Special / Strong Bitter (ESB),5.9,20,40,24,63,10,25,74,34,1,37,16,12,126,3.8,4.01,3.95,3.99,4.05
Red Rack Ale,Bitter - English Extra Special / Strong Bitter (ESB),5.5,20,40,20,56,12,52,75,38,0,27,66,3,109,3.36,3.67,3.48,3.45,3.59
Christmas Ale,Bitter - English Extra Special / Strong Bitter (ESB),6.2,20,40,9,69,22,52,61,24,0,27,67,21,112,3.65,3.89,3.78,3.84,3.88
Bachelor ESB,Bitter - English Extra Special / Strong Bitter (ESB),5.3,20,40,20,46,8,73,27,20,0,16,97,7,85,3.81,4.03,3.9,3.96,4.05
Bleeding Buckeye Red Ale,Bitter - English Extra Special / Strong Bitter (ESB),5.7,20,40,10,32,4,45,56,16,0,11,75,3,95,3.41,3.67,3.52,3.5,3.7
Extra Special Bitter (ESB),Bitter - English Extra Special / Strong Bitter (ESB),5.0,20,40,14,59,9,87,79,30,0,38,112,9,105,3.82,3.94,3.82,3.91,3.98
Steel Wheels ESB,Bitter - English Extra Special / Strong Bitter (ESB),6.5,20,40,23,40,21,58,96,33,0,42,74,13,106,3.5,4.5,4.5,4.0,4.0
Batemans XXXB,Bitter - English Extra Special / Strong Bitter (ESB),4.8,20,40,18,62,10,62,95,36,0,42,76,14,94,3.83,3.92,3.86,3.96,3.98
XX Bitch Creek,Bitter - English Extra Special / Strong Bitter (ESB),7.5,20,40,11,89,27,25,86,32,0,40,16,13,169,3.89,4.07,3.91,3.91,3.84
Adnams SSB (Suffolk Special Bitter),Bitter - English Extra Special / Strong Bitter (ESB),4.5,20,40,16,46,18,65,52,33,0,25,69,6,72,3.69,3.92,3.8,3.88,4.0
Naughty Hildegard ESB,Bitter - English Extra Special / Strong Bitter (ESB),6.5,20,40,9,48,11,97,55,49,0,65,16,6,89,4.25,4.29,4.11,4.14,4.14
Honker's Ale,Bitter - English,4.3,20,35,14,35,3,53,66,28,1,32,58,1,79,3.65,3.77,3.7,3.82,4.0
Fuller's London Pride,Bitter - English,4.7,20,35,21,49,9,58,67,32,0,33,101,6,108,3.79,3.9,3.9,3.98,4.15
Bluebird Bitter,Bitter - English,4.2,20,35,29,43,15,62,52,47,2,38,101,23,81,3.72,3.81,3.76,3.86,4.11
Spitfire Premium Kentish Ale,Bitter - English,4.5,20,35,16,22,6,51,29,16,1,15,76,6,61,3.52,3.87,3.53,3.69,3.72
Younger's Special Bitter,Bitter - English,4.8,20,35,20,69,14,74,44,24,0,20,84,13,89,3.83,3.85,3.83,3.95,4.03
The Naughty Nurse,Bitter - English,5.0,20,35,11,38,10,65,55,7,0,4,75,9,89,3.34,3.55,3.38,3.5,3.59
Ruddles County,Bitter - English,4.7,20,35,15,60,9,65,49,20,0,24,93,14,97,3.56,3.85,3.69,3.75,3.82
Foster's Special Bitter,Bitter - English,5.0,20,35,20,39,8,37,31,30,1,19,43,2,56,2.66,3.45,2.92,2.88,3.16
Uncle Teddy's Bitter,Bitter - English,4.0,20,35,12,83,5,58,44,24,1,25,85,32,88,3.85,4.12,4.14,4.07,4.47
Doom Bar,Bitter - English,4.3,20,35,8,50,2,45,36,10,1,8,49,23,64,3.45,3.69,3.5,3.45,3.62
Long Haul Session Ale,Bitter - English,4.2,20,35,17,40,6,54,48,35,0,23,65,17,88,3.46,3.78,3.54,3.54,3.72
Best Bitter,Bitter - English,5.0,20,35,18,61,4,77,55,26,0,22,101,13,89,3.59,3.75,3.63,3.75,3.86
Old Golden Hen,Bitter - English,4.1,20,35,14,41,6,67,48,44,0,72,85,11,69,3.33,3.33,3.67,3.83,3.5
Hopback Summer Lightning,Bitter - English,5.0,20,35,37,35,3,66,18,26,0,18,85,9,36,3.41,3.77,3.55,3.58,3.77
Belhaven Best,Bitter - English,3.5,20,35,7,73,14,33,63,17,2,18,49,4,99,3.17,3.88,3.36,3.2,3.55
Adnams Southwold Bitter,Bitter - English,4.1,20,35,18,49,15,94,97,49,2,55,16,9,85,3.48,3.82,3.85,3.65,3.8
Geary's Winter Ale,Bitter - English,6.0,20,35,9,59,20,37,60,13,0,18,45,19,80,3.36,3.6,3.51,3.48,3.6
Brakspear Bitter,Bitter - English,3.4,20,35,18,52,5,73,34,19,0,17,85,11,74,3.62,3.76,3.65,3.64,3.87
Goliath,Bitter - English,4.2,20,35,12,41,19,49,47,27,0,24,77,9,74,3.31,3.64,3.34,3.28,3.34
McNellie's Pub Ale,Bitter - English,5.0,20,35,27,50,7,58,62,34,0,30,96,8,116,3.68,3.86,3.88,3.88,4.08
Ruby Red Ale,Bitter - English,4.3,20,35,19,47,12,71,73,28,0,33,78,14,122,3.82,3.76,3.65,3.86,3.85
Op & Top,Bitter - English,4.5,20,35,19,38,8,70,55,72,0,81,112,7,55,3.75,3.79,3.43,3.71,3.79
Tetley's Smoothflow,Bitter - English,3.6,20,35,14,96,10,40,62,21,1,20,55,2,74,3.12,3.89,3.59,3.3,3.68
Arkell Best Bitter,Bitter - English,4.0,20,35,15,40,8,79,60,31,0,29,105,4,117,3.63,3.71,3.64,3.79,4.01
Chester County Bitter,Bitter - English,4.5,20,35,14,85,10,74,32,31,0,30,91,37,82,3.58,3.92,3.9,3.73,3.9
Cain's Finest Bitter,Bitter - English,4.0,20,35,15,59,7,68,60,17,1,22,91,3,104,3.35,3.67,3.57,3.48,3.53
Bitter,Bitter - English,4.0,20,35,26,42,5,74,37,44,1,42,100,11,69,3.54,3.78,3.7,3.65,3.92
Colonel Blides Cask Ale,Bitter - English,5.5,20,35,14,56,5,61,43,38,0,41,78,8,82,3.55,3.83,3.76,3.72,3.83
T.E.A. (Traditional English Ale),Bitter - English,4.2,20,35,13,36,10,53,58,43,2,41,81,7,81,3.24,3.56,3.37,3.31,3.54
XB Bluebird Bitter,Bitter - English,4.4,20,35,31,51,2,64,55,73,0,66,82,6,69,3.61,3.72,3.46,3.45,3.59
Pitchfork Rebellious Bitter,Bitter - English,4.3,20,35,34,49,13,88,41,59,2,60,112,12,64,3.42,3.95,3.63,3.71,3.89
HopHead,Bitter - English,3.8,20,35,25,57,8,67,15,33,0,29,85,21,23,4.07,3.74,4.05,4.17,4.29
Old Brewery BitterSamuel Smith Old Brewery (Tadcaster),Bitter - English,4.0,20,35,10,91,9,58,62,42,1,41,68,21,75,3.42,3.87,3.65,3.73,3.83
Little Dog,Bitter - English,3.5,20,35,9,31,8,44,13,24,0,26,61,9,53,3.68,3.61,3.43,3.75,3.82
Best Bitter,Bitter - English,3.7,20,35,17,45,2,79,47,28,0,20,101,11,82,3.48,3.59,3.47,3.56,3.64
Camerons Strongarm,Bitter - English,4.0,20,35,16,49,13,60,62,22,0,16,66,12,89,3.64,3.9,3.64,3.66,3.89
HSB (Horndean Special Bitter),Bitter - English,4.8,20,35,13,47,7,54,40,28,0,29,64,14,64,3.89,4.04,3.99,4.14,4.2
St. Patrick's Best,Bitter - English,4.2,20,35,24,58,11,52,77,37,2,31,91,9,109,3.47,3.66,3.41,3.58,3.7
Hooky Bitter,Bitter - English,3.5,20,35,23,60,9,83,71,56,0,58,16,16,113,3.64,3.91,3.87,3.91,4.32
West Bank Pub Ale,Bitter - English,4.8,20,35,18,44,6,86,39,59,1,70,16,14,59,3.74,3.89,3.88,3.77,3.99
Adnams Bitter,Bitter - English,4.1,20,35,18,60,10,95,63,42,0,39,109,13,90,3.52,3.9,3.74,3.8,3.85
DeuS (Brut Des Flandres),Bière de Champagne / Bière Brut,11.5,10,35,15,25,24,7,54,39,0,53,35,34,19,4.11,4.31,4.17,4.18,4.04
Nelson Sauvignon (Nelson Sauvin Brut),Bière de Champagne / Bière Brut,9.0,10,35,37,27,10,39,86,10,2,111,47,8,22,4.24,4.11,4.03,4.18,4.12
Malheur Bière Brut (Brut Reserve),Bière de Champagne / Bière Brut,5.0,10,35,29,45,29,16,91,65,0,79,35,13,47,4.03,4.08,4.05,4.09,4.09
Malheur Brut Noir (Black Chocolate),Bière de Champagne / Bière Brut,5.0,10,35,20,78,40,17,124,49,0,95,21,16,70,4.03,4.19,4.13,4.14,4.07
Krait Prestige,Bière de Champagne / Bière Brut,8.0,10,35,35,31,35,21,104,49,0,62,30,9,72,3.39,3.59,3.62,3.43,3.63
Eisenbahn Lust,Bière de Champagne / Bière Brut,11.5,10,35,21,48,43,18,109,65,0,67,20,28,62,3.72,3.96,3.78,3.8,3.7
Šamp - Pivní Sekt,Bière de Champagne / Bière Brut,5.0,10,35,10,12,3,10,14,22,0,24,16,3,15,3.75,4.25,4.25,3.75,4.25
Eisenbahn Lust Prestige,Bière de Champagne / Bière Brut,11.5,10,35,2,3,4,1,4,1,0,5,1,0,3,4.17,4.17,4.17,4.33,4.33
Summer Love,Blonde Ale - American,5.2,15,25,30,19,2,61,17,41,2,48,88,3,38,3.74,3.82,3.84,3.91,3.92
Sweet Action,Blonde Ale - American,5.0,15,25,13,38,7,54,39,38,0,40,81,2,50,3.84,3.92,3.96,3.94,4.03
Big Wave Golden Ale,Blonde Ale - American,4.4,15,25,9,25,7,31,35,27,2,35,49,0,34,3.34,3.37,3.45,3.44,3.55
Twilight Summer Ale,Blonde Ale - American,5.0,15,25,28,37,8,62,48,79,0,82,102,17,100,3.57,3.71,3.64,3.65,3.9
Tire Bite Golden Ale,Blonde Ale - American,5.1,15,25,28,34,8,29,31,25,1,19,49,5,54,2.83,3.08,3.09,2.93,3.23
Export Ale,Blonde Ale - American,5.1,15,25,15,41,13,34,45,39,0,35,61,4,85,3.24,3.47,3.33,3.35,3.49
Fireman's #4,Blonde Ale - American,5.1,15,25,14,17,10,24,26,21,0,26,39,10,36,3.3,3.45,3.44,3.43,3.74
